Text, Type
Methcathinone, DRUG
Bathtubspeed, DRUG
Cadillacexpress, DRUG
cat, DRUG
crank, DRUG
ephedrone, DRUG
gagers, DRUG
go-fast, DRUG
goob, DRUG
qat, DRUG
slicksuperspeed, DRUG
star, DRUG
theC, DRUG
tweeker, DRUG
wildcatandwonderstar, DRUG
Opium, DRUG
Ah-pen-yen, DRUG
aunti, DRUG
bigO, DRUG
blackstuff, DRUG
Chinesetobacco, DRUG
chocolate, DRUG
dopium, DRUG
dover’sdeck, DRUG
dreamgun, DRUG
hardstuff, DRUG
hocus, DRUG
joyplant, DRUG
O, DRUG
ope, DRUG
pinyen, DRUG
toxyandzero, DRUG
PCP, DRUG
Phencyclidine, DRUG
Angeldust, DRUG
belladonna, DRUG
blackwhack, DRUG
CJ, DRUG
cliffhanger, DRUG
crystaljoint, DRUG
Detroitpink, DRUG
elephanttranquilizer, DRUG
hog, DRUG
magic, DRUG
PeterPan, DRUG
sheets, DRUG
soma, DRUG
TAC, DRUG
trank, DRUG
whitehorizonandzoom, DRUG
Psilocybin, DRUG
psilocin, DRUG
Boomers, DRUG
god’sflesh, DRUG
littlesmoke, DRUG
magicmushroom, DRUG
Mexicanmushrooms, DRUG
mushrooms, DRUG
musk, DRUG
sherm, DRUG
shrooms, DRUG
sillyputtyandsimplesimon, DRUG
Ritalin, DRUG
Crackers, DRUG
oneandones, DRUG
pharming, DRUG
poorman’sheroin, DRUG
R-ball, DRUG
ritzants, DRUG
set, DRUG
skippy, DRUG
speedball, DRUG
tsandritz, DRUG
tsandrs, DRUG
vitaminRandwestcoast, DRUG
Rohypnol, DRUG
Circles, DRUG
forget-mepill, DRUG
larocha, DRUG
lunchmoneydrug, DRUG
Mexicanvalium, DRUG
pingus, DRUG
R2, DRUG
Reynolds, DRUG
roche, DRUG
roofies, DRUG
rope, DRUG
rufflesandwolfies, DRUG
Steroids, DRUG
Abolic, DRUG
anadrol, DRUG
arnolds, DRUG
bolasterone, DRUG
dihydrolone, DRUG
equipose, DRUG
gymcandy, DRUG
juice, DRUG
methyltestosterone, DRUG
proviron, DRUG
pumpers, DRUG
stackers, DRUG
therobolin, DRUG
weighttrainersandwinstrolV, DRUG
